日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260618,1522,0.0,31.55,31.05,31.45,594847,18679226,441,0,0,594847
20260622,1522,0.0,32.8,32.0,32.1,1442521,46720402,1239,0,0,1442521
20260622,1522,32.2,32.3,31.25,31.35,1204000,37745400,435,928000,276000,1204000
20260623,1522,0.0,32.3,31.25,31.35,1232144,38908959,2789,0,0,1232144
20260623,1522,31.5,31.5,30.65,30.65,582000,17838300,217,400000,182000,1443784
20260624,1522,0.0,31.35,30.4,30.45,1102829,33865430,2580,0,0,1102829
20260624,1522,30.38,30.75,30.0,30.5,714000,21777000,229,486000,228000,714044
20260625,1522,0.0,30.75,30.0,30.5,725961,21992243,1038,0,0,725961
20260625,1522,30.45,30.5,30.3,30.35,511000,15508850,104,312000,199000,511000
20260626,1522,0.0,30.65,30.3,30.35,519425,15802835,621,0,0,519425
20260626,1522,30.25,30.45,29.85,29.85,842000,25133700,277,634000,208000,842000
20260629,1522,0.0,30.45,29.85,29.85,860019,25843642,1645,0,0,860019
20260629,1522,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260630,1522,0.0,30.25,29.85,30.0,275062,8246842,437,0,0,275062
20260630,1522,30.2,30.45,30.0,30.45,635000,19335750,163,199000,436000,635013
20260701,1522,0.0,30.45,30.0,30.45,638852,19287497,381,0,0,638852
20260701,1522,30.0,30.05,29.95,30.0,841000,25230000,13,695000,146000,841000
20260702,1522,0.0,30.3,29.8,30.15,315518,9495465,318,0,0,315518
20260702,1522,0.0,30.3,29.8,30.15,315518,9495465,318,156000,155000,315518
20260703,1522,0.0,30.3,29.8,30.15,315518,9495465,318,0,0,315518
20260706,1522,0.0,30.75,30.05,30.6,641197,19613061,468,0,0,641197
20260706,1522,30.65,30.65,30.5,30.55,636000,19429800,53,411000,225000,636000
20260707,1522,0.0,31.1,30.5,30.55,643984,19786339,490,0,0,643984
20260707,1522,30.02,30.1,30.0,30.05,598000,17969900,46,463000,135000,598022
20260708,1522,0.0,30.55,30.0,30.05,605467,18320676,501,0,0,605467
20260709,1522,0.0,30.35,29.95,29.95,387547,11644323,293,0,0,387547
20260709,1522,0.0,30.35,29.95,29.95,387547,11644323,293,0,0,387547
20260710,1522,30.05,30.25,29.9,30.0,351636,10574736,287,0,0,351636
20260711,1522,30.05,30.25,29.9,30.0,351636,10574736,287,0,0,351636
20260713,1522,30.05,30.25,29.9,30.0,351636,10574736,287,0,0,351636
20260714,1522,30.25,30.7,30.15,30.4,559774,17012415,429,0,0,559774
20260715,1522,30.6,30.6,29.8,29.85,1049355,31399307,669,0,0,1049355
20260715,1522,30.6,30.6,29.8,29.85,1049355,31399307,669,319000,393003,1049355
20260716,1522,30.0,30.1,29.9,30.1,824511,24736546,538,0,0,824511
20260716,1522,30.0,30.1,29.9,30.1,824511,24736546,538,87000,147001,824511
20260717,1522,29.15,29.65,28.9,29.4,720631,21122109,631,0,0,720631
20260717,1522,29.15,29.65,28.9,29.4,720631,21122109,631,361000,229001,720631
20260719,1522,29.35,29.65,28.8,28.95,795205,23167480,628,0,0,795205
20260720,1522,29.35,29.65,28.8,28.95,795205,23167480,628,0,0,795205
20260721,1522,29.3,29.3,28.3,28.7,422424,12133298,436,0,0,422424
20260722,1522,28.7,28.9,28.7,28.7,563315,16200873,395,0,0,563315
20260722,1522,28.77,28.77,28.75,28.75,144000,414,6,88000,56000,148543
20260723,1522,28.9,28.95,28.55,28.55,561379,16099070,479,0,0,561379
20260724,1522,27.93,27.95,27.9,27.9,490003,1372,6,370000,120003,9451205
20260728,1522,28.2,28.35,27.75,27.85,688177,19240555,634,0,0,688177
20260803,1522,27.25,28.25,27.25,28.1,457459,12745704,398,0,0,457459
20260804,1522,27.25,28.25,27.25,28.1,457459,12745704,398,0,0,457459
20260805,1522,0,0,0,0,0,0,0,0,0,0
