日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260708,4967,0.0,262.0,248.5,249.5,2556522,650959484,3384,0,0,2556522
20260709,4967,0.0,249.5,230.0,233.0,6795466,1609837559,8065,0,0,6795466
20260710,4967,236.5,240.5,232.0,233.0,2630286,620936692,3146,0,0,2630286
20260711,4967,236.5,240.5,232.0,233.0,2630286,620936692,3146,0,0,2630286
20260713,4967,236.5,240.5,232.0,233.0,2630286,620936692,3146,0,0,2630286
20260714,4967,236.0,237.0,227.5,229.5,2255149,523564583,2780,0,0,2255149
20260715,4967,230.0,231.0,215.5,224.5,2652152,590649578,3308,0,0,2652152
20260715,4967,230.0,231.0,215.5,224.5,2652152,590649578,3308,769000,849002,2652152
20260716,4967,226.5,233.5,226.5,230.5,1743854,402130013,2086,0,0,1743854
20260716,4967,226.5,233.5,226.5,230.5,1743854,402130013,2086,286000,76001,1743854
20260717,4967,226.0,228.5,222.0,225.5,1299225,293342876,1874,0,0,1299225
20260717,4967,226.0,228.5,222.0,225.5,1299225,293342876,1874,1654000,1063001,1299225
20260719,4967,217.0,224.5,208.0,209.0,3409697,728633903,4135,0,0,3409697
20260720,4967,217.0,224.5,208.0,209.0,3409697,728633903,4135,0,0,3409697
20260721,4967,211.5,211.5,195.5,208.5,2764713,565105693,2976,0,0,2764713
20260722,4967,213.0,214.5,209.5,214.0,1241201,263449313,2007,0,0,1241201
20260722,4967,220.75,221.0,219.5,219.5,900001,19869,43,459000,441001,900001
20260723,4967,219.5,223.5,218.5,218.5,1893230,417329273,2196,0,0,1893230
20260724,4967,220.25,220.25,220.0,220.0,2949001,65645,18,1521000,1428001,3970282
20260728,4967,217.0,228.5,215.0,218.5,3743707,831197770,3806,0,0,3743707
20260803,4967,230.0,233.5,222.0,233.5,5686475,1304931198,5972,0,0,5686475
20260804,4967,230.0,233.5,222.0,233.5,5686475,1304931198,5972,0,0,5686475
20260805,4967,0,0,0,0,0,0,0,0,0,0
