日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260708,4536,0.0,177.5,171.5,173.5,387714,67318535,1908,0,0,387714
20260709,4536,0.0,175.5,172.0,173.0,181865,31469313,265,0,0,181865
20260710,4536,173.5,173.5,171.5,171.5,247710,42686136,240,0,0,247710
20260711,4536,173.5,173.5,171.5,171.5,247710,42686136,240,0,0,247710
20260713,4536,173.5,173.5,171.5,171.5,247710,42686136,240,0,0,247710
20260714,4536,172.0,174.5,170.0,171.5,394903,67961586,409,0,0,394903
20260715,4536,173.0,173.0,167.0,168.5,793892,135318331,518,0,0,793892
20260715,4536,173.0,173.0,167.0,168.5,793892,135318331,518,276000,547000,793892
20260716,4536,169.5,174.0,169.0,171.0,855973,145959994,510,0,0,855973
20260716,4536,169.5,174.0,169.0,171.0,855973,145959994,510,94000,788000,855973
20260717,4536,164.5,167.5,163.5,163.5,1123412,185111496,597,0,0,1123412
20260717,4536,164.5,167.5,163.5,163.5,1123412,185111496,597,285000,193008,1123412
20260719,4536,163.5,167.5,163.5,165.5,572723,94818687,617,0,0,572723
20260720,4536,163.5,167.5,163.5,165.5,572723,94818687,617,0,0,572723
20260721,4536,167.0,167.0,161.5,164.0,289241,47208270,385,0,0,289241
20260722,4536,165.0,166.0,163.5,165.0,201650,33268426,202,0,0,201650
20260722,4536,165.75,165.75,165.5,165.5,75000,1246,9,43000,32000,81264
20260723,4536,165.5,167.5,164.0,165.5,210045,34782849,242,0,0,210045
20260724,4536,164.5,164.5,164.5,164.5,0,0,0,0,0,149285
20260728,4536,165.0,165.5,162.0,165.5,496525,81595599,338,0,0,496525
20260803,4536,167.0,169.5,165.0,165.5,272682,45620177,1321,0,0,272682
20260804,4536,167.0,169.5,165.0,165.5,272682,45620177,1321,0,0,272682
20260805,4536,0,0,0,0,0,0,0,0,0,0
